Name,ISIN,Distribution Type,Ticker,NAV,As Of,Bid,Price As Of,Share Class Currency,AUM (M),UCITS,Domicile,OCF (%),TER,Asset Class,Sub Asset Class,Region,Location,Share Class,Market,Strategy,Investment Style,Inception Date,Fund Name,Net Assets,Shares Outstanding,ISA Eligibility,Product Methodology,Issuing Company,Benchmark Index,Benchmark Level,SIPP Availability,UK Distributor / Reporting Status,Discrete,,,,,,,,,Annualised,,,,,,,,,,Cumulative,,,,,,,,,,Calendar,,,,,,,,,Portfolio Characteristics,,,,,Characteristics,,,,,,Sustainability Characteristics (MSCI),,,
iShares North America Index Fund (IE) Inst Acc EUR,IE00B78CT216,Accumulating,-,30.87,22/Oct/2020,30.86,22/Oct/2020,EUR,"3,496.53",Y,Ireland,0.17,-,Equity,Large Cap,North America,United States,Inst,Developed,-,Index,24/Feb/2012,iShares North America Index Fund (IE),"110,469,517.06","3,578,711.60",-,-,BlackRock Asset Management Ireland Limited,MSCI Daily Net TR North America EUR,-,-,-,iShares North America Index Fund (IE) Inst Acc EUR,IE00B78CT216,24/Feb/2012,13.47,11.67,18.26,10.14,7.13,30/Sep/2020,iShares North America Index Fund (IE) Inst Acc EUR,IE00B78CT216,24/Feb/2012,7.13,8.62,11.75,12.07,-,13.74,30/Sep/2020,iShares North America Index Fund (IE) Inst Acc EUR,IE00B78CT216,24/Feb/2012,1.43,24.23,39.54,76.81,-,202.61,30/Sep/2020,iShares North America Index Fund (IE) Inst Acc EUR,IE00B78CT216,24/Feb/2012,10.25,14.78,6.08,-1.12,33.01,31/Dec/2019,iShares North America Index Fund (IE) Inst Acc EUR,22.23,3.51,0.00,"410,257.96",1.66,0.00,-,0.00,-,-,A,6.42,164.55,-
iShares Pacific Index Fund (IE) Inst Acc EUR,IE00B56H2V49,Accumulating,-,15.88,22/Oct/2020,15.87,22/Oct/2020,EUR,795.85,Y,Ireland,0.19,-,Equity,Large/Mid Cap,Asia Pacific,Broad,Inst,Developed,-,Index,24/Feb/2012,iShares Pacific Index Fund (IE),"129,725,562.18","8,168,080.38",-,-,BlackRock Asset Management Ireland Limited,MSCI Developed Pacific Ex Japan in EUR Net TR Index,-,-,-,iShares Pacific Index Fund (IE) Inst Acc EUR,IE00B56H2V49,24/Feb/2012,19.13,8.72,5.98,9.64,-12.80,30/Sep/2020,iShares Pacific Index Fund (IE) Inst Acc EUR,IE00B56H2V49,24/Feb/2012,-12.80,-2.22,0.44,5.59,-,5.14,30/Sep/2020,iShares Pacific Index Fund (IE) Inst Acc EUR,IE00B56H2V49,24/Feb/2012,-15.13,14.63,1.32,31.24,-,53.92,30/Sep/2020,iShares Pacific Index Fund (IE) Inst Acc EUR,IE00B56H2V49,24/Feb/2012,1.76,10.93,10.53,-5.94,20.48,31/Dec/2019,iShares Pacific Index Fund (IE) Inst Acc EUR,15.03,1.50,0.00,"43,164.94",-,0.00,-,0.00,-,-,A,6.58,262.95,-
iShares UK Index Fund (IE) Inst Acc EUR,IE00B7MSLV86,Accumulating,-,12.17,22/Oct/2020,12.17,22/Oct/2020,EUR,506.61,Y,Ireland,0.17,-,Equity,Large/Mid Cap,Europe,United Kingdom,Inst,Developed,-,Index,24/Feb/2012,iShares UK Index Fund (IE),"75,228,336.24","6,182,059.41",-,-,BlackRock Asset Management Ireland Limited,MSCI Developed - United Kingdom Net in EUR,-,-,-,iShares UK Index Fund (IE) Inst Acc EUR,IE00B7MSLV86,24/Feb/2012,0.72,9.01,4.53,3.32,-21.73,30/Sep/2020,iShares UK Index Fund (IE) Inst Acc EUR,IE00B7MSLV86,24/Feb/2012,-21.73,-10.08,-5.45,-1.48,-,2.44,30/Sep/2020,iShares UK Index Fund (IE) Inst Acc EUR,IE00B7MSLV86,24/Feb/2012,-26.67,0.70,-15.47,-7.19,-,23.07,30/Sep/2020,iShares UK Index Fund (IE) Inst Acc EUR,IE00B7MSLV86,24/Feb/2012,2.91,2.61,7.47,-9.93,23.06,31/Dec/2019,iShares UK Index Fund (IE) Inst Acc EUR,15.30,1.38,0.00,"46,511.38",0.91,0.00,-,0.00,-,-,AA,7.68,100.32,-
iShares Japan Index Fund (IE) Inst Acc EUR,IE00B6RVWW34,Accumulating,-,19.60,22/Oct/2020,19.60,22/Oct/2020,EUR,"1,751.53",Y,Ireland,0.17,-,Equity,Large/Mid Cap,Asia Pacific,Japan,Inst,Developed,-,Index,24/Feb/2012,iShares Japan Index Fund (IE),"332,121,746.64","16,941,487.97",-,-,BlackRock Asset Management Ireland Limited,MSCI Developed - Japan Net Total Return Index in EUR,-,-,-,iShares Japan Index Fund (IE) Inst Acc EUR,IE00B6RVWW34,24/Feb/2012,11.18,8.40,12.08,1.35,-0.69,30/Sep/2020,iShares Japan Index Fund (IE) Inst Acc EUR,IE00B6RVWW34,24/Feb/2012,-0.69,0.32,4.10,6.34,-,8.18,30/Sep/2020,iShares Japan Index Fund (IE) Inst Acc EUR,IE00B6RVWW34,24/Feb/2012,-5.05,11.55,12.80,35.96,-,96.70,30/Sep/2020,iShares Japan Index Fund (IE) Inst Acc EUR,IE00B6RVWW34,24/Feb/2012,21.87,5.32,8.82,-8.57,21.67,31/Dec/2019,iShares Japan Index Fund (IE) Inst Acc EUR,16.88,1.34,0.00,"42,510.31",-,0.00,-,0.00,-,-,A,6.48,86.71,-
iShares Corporate Bond Index Fund (UK) Class A Acc,GB00B66TQP96,Accumulating,-,1.71,23/Oct/2020,1.70,23/Oct/2020,GBP,"5,874.61",Y,United Kingdom,0.52,-,Fixed Income,Credit,Europe,United Kingdom,Class A,Developed,-,Index,01/Sep/2010,iShares Corporate Bond Index Fund (UK),"5,562,085.15","3,252,996.75",-,-,BlackRock Fund Managers Ltd,iBoxx Sterling Non Gilt 1300CET (midday) index,-,-,-,iShares Corporate Bond Index Fund (UK) Class A Acc,GB00B66TQP96,01/Sep/2010,14.01,-1.12,0.00,9.62,3.66,30/Sep/2020,iShares Corporate Bond Index Fund (UK) Class A Acc,GB00B66TQP96,01/Sep/2010,3.66,6.60,4.35,5.08,5.09,5.08,30/Sep/2020,iShares Corporate Bond Index Fund (UK) Class A Acc,GB00B66TQP96,01/Sep/2010,4.48,8.97,13.63,28.09,64.35,64.83,30/Sep/2020,iShares Corporate Bond Index Fund (UK) Class A Acc,GB00B66TQP96,01/Sep/2010,-0.37,9.90,4.10,-2.03,8.97,31/Dec/2019,iShares Corporate Bond Index Fund (UK) Class A Acc,9.05,0.77,7.96,0.00,2.40,10.89,-,8.01,-,-,A,6.71,121.06,-
iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE) Inst Acc USD,IE00B3C8NT28,Accumulating,-,15.21,22/Oct/2020,15.20,22/Oct/2020,USD,756.07,Y,Ireland,0.15,-,Fixed Income,Inflation,Global,Broad,Inst,Developed,Outcome Focused,Index,25/May/2011,iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE),"230,762,088.53","15,167,617.09",-,-,BlackRock Asset Management Ireland Limited,BBG Barc World Gov Inflation Linked Bond Index USD Hedged,-,-,-,iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE) Inst Acc USD,IE00B3C8NT28,25/May/2011,11.41,-1.39,1.96,11.71,5.01,30/Sep/2020,iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE) Inst Acc USD,IE00B3C8NT28,25/May/2011,5.01,8.31,6.15,5.61,-,4.60,30/Sep/2020,iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE) Inst Acc USD,IE00B3C8NT28,25/May/2011,7.79,7.30,19.61,31.40,-,52.30,30/Sep/2020,iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE) Inst Acc USD,IE00B3C8NT28,25/May/2011,-1.17,10.17,3.23,0.00,8.26,31/Dec/2019,iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE) Inst Acc USD,0.00,0.00,12.44,0.00,0.79,13.16,-,12.44,-,-,A,6.28,-,-
iShares Overseas Government Bond Index Fund (UK) Class A Acc,GB00B66C4R68,Accumulating,-,1.42,23/Oct/2020,1.42,23/Oct/2020,GBP,"1,992.72",Y,United Kingdom,0.51,-,Fixed Income,Government,Global,Broad,Class A,Developed,-,Index,28/Jan/2011,iShares Overseas Government Bond Index Fund (UK),"125,606.59","88,627.22",-,-,BlackRock Fund Managers Ltd,JP Morgan Global Government Bond Index ex UK,-,-,-,iShares Overseas Government Bond Index Fund (UK) Class A Acc,GB00B66C4R68,28/Jan/2011,28.88,-6.74,0.49,14.70,1.69,30/Sep/2020,iShares Overseas Government Bond Index Fund (UK) Class A Acc,GB00B66C4R68,28/Jan/2011,1.69,8.00,5.44,7.09,-,3.88,30/Sep/2020,iShares Overseas Government Bond Index Fund (UK) Class A Acc,GB00B66C4R68,28/Jan/2011,10.06,0.14,17.21,40.88,-,44.52,30/Sep/2020,iShares Overseas Government Bond Index Fund (UK) Class A Acc,GB00B66C4R68,28/Jan/2011,1.56,22.17,-3.53,5.54,1.23,31/Dec/2019,iShares Overseas Government Bond Index Fund (UK) Class A Acc,0.00,0.00,8.48,0.00,1.65,10.01,-,8.48,-,-,A,6.30,-,-
iShares Japan Index Fund (IE) Inst Dist USD,IE00B1W56N49,Distributing,-,16.46,22/Oct/2020,16.46,22/Oct/2020,USD,"1,751.53",Y,Ireland,0.18,-,Equity,Large/Mid Cap,Asia Pacific,Japan,Inst,Developed,-,Index,13/May/2009,iShares Japan Index Fund (IE),"52,409,892.69","3,183,441.21",-,-,BlackRock Asset Management Ireland Limited,MSCI Developed - Japan Net Dividends (USD),-,-,-,iShares Japan Index Fund (IE) Inst Dist USD,IE00B1W56N49,13/May/2009,11.96,14.04,10.09,-4.88,6.78,30/Sep/2020,iShares Japan Index Fund (IE) Inst Dist USD,IE00B1W56N49,13/May/2009,6.78,0.79,3.80,7.38,6.06,6.18,30/Sep/2020,iShares Japan Index Fund (IE) Inst Dist USD,IE00B1W56N49,13/May/2009,-0.85,19.18,11.83,42.78,80.09,97.80,30/Sep/2020,iShares Japan Index Fund (IE) Inst Dist USD,IE00B1W56N49,13/May/2009,9.40,2.28,23.88,-12.97,19.48,31/Dec/2019,iShares Japan Index Fund (IE) Inst Dist USD,16.88,1.34,0.00,"42,510.31",-,0.00,-,0.00,-,-,A,6.48,86.71,-
iShares Developed World Index Fund (IE) Inst Acc GBP,IE00B62C5H76,Accumulating,-,26.93,22/Oct/2020,26.92,22/Oct/2020,GBP,"11,879.14",Y,Ireland,0.16,-,Equity,All Cap,Global,Broad,Inst,Developed,-,Index,13/Jul/2011,iShares Developed World Index Fund (IE),"110,683,173.21","4,109,810.50",-,-,BlackRock Asset Management Ireland Limited,MSCI World NET TR in GBP Index,-,-,-,iShares Developed World Index Fund (IE) Inst Acc GBP,IE00B62C5H76,13/Jul/2011,29.75,14.58,14.39,7.76,5.14,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Acc GBP,IE00B62C5H76,13/Jul/2011,5.14,6.44,9.03,14.02,-,11.22,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Acc GBP,IE00B62C5H76,13/Jul/2011,4.15,23.52,29.60,92.68,-,166.54,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Acc GBP,IE00B62C5H76,13/Jul/2011,4.76,28.26,11.91,-3.06,22.69,31/Dec/2019,iShares Developed World Index Fund (IE) Inst Acc GBP,19.97,2.52,0.00,"304,828.00",1.74,0.00,-,0.00,-,-,A,6.71,156.13,-
iShares Developed World Index Fund (IE) Inst Dist EUR,IE00B62NV726,Distributing,-,23.26,22/Oct/2020,23.25,22/Oct/2020,EUR,"11,879.14",Y,Ireland,0.17,-,Equity,All Cap,Global,Broad,Inst,Developed,-,Index,08/Sep/2010,iShares Developed World Index Fund (IE),"709,157,326.21","30,487,604.96",-,-,BlackRock Asset Management Ireland Limited,MSCI World Index Net EUR,-,-,-,iShares Developed World Index Fund (IE) Inst Dist EUR,IE00B62NV726,08/Sep/2010,10.51,12.47,13.16,8.49,2.54,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Dist EUR,IE00B62NV726,08/Sep/2010,2.54,5.47,7.97,9.37,11.00,10.67,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Dist EUR,IE00B62NV726,08/Sep/2010,-2.72,20.49,25.88,56.47,183.91,177.33,30/Sep/2020,iShares Developed World Index Fund (IE) Inst Dist EUR,IE00B62NV726,08/Sep/2010,10.30,10.73,7.58,-4.13,29.96,31/Dec/2019,iShares Developed World Index Fund (IE) Inst Dist EUR,19.97,2.52,0.00,"304,828.00",-,0.00,-,0.00,-,-,A,6.71,156.13,-
iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Acc EUR,IE00B67T5G21,Accumulating,-,13.88,22/Oct/2020,13.87,22/Oct/2020,EUR,"1,430.25",Y,Ireland,0.15,-,Fixed Income,Multi Sectors,Europe,Broad,Inst,Developed,-,Index,09/Feb/2012,iShares Euro Investment Grade Corporate Bond Index Fund (IE),"430,450,168.02","31,008,059.33",-,-,BlackRock Asset Management Ireland Limited,BBG Barc Euro Aggregate Corporate Index,-,-,-,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Acc EUR,IE00B67T5G21,09/Feb/2012,7.46,0.58,-0.02,6.24,0.27,30/Sep/2020,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Acc EUR,IE00B67T5G21,09/Feb/2012,0.27,3.21,2.12,2.85,-,3.78,30/Sep/2020,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Acc EUR,IE00B67T5G21,09/Feb/2012,0.76,7.47,6.50,15.11,-,37.75,30/Sep/2020,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Acc EUR,IE00B67T5G21,09/Feb/2012,-0.57,4.85,2.40,-1.28,6.38,31/Dec/2019,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Acc EUR,9.56,0.76,5.26,0.00,1.40,5.61,-,5.26,-,-,A,6.86,140.51,-
iShares Emerging Markets Index Fund (IE) Inst Acc EUR,IE00B3D07F16,Accumulating,-,21.73,22/Oct/2020,21.67,22/Oct/2020,EUR,"12,354.97",Y,Ireland,0.32,-,Equity,Large/Mid Cap,Global,Broad,Inst,Emerging,-,Index,23/Jul/2009,iShares Emerging Markets Index Fund (IE),"1,065,312,891.29","49,030,714.55",-,-,BlackRock Asset Management Ireland Limited,"MSCI Emerging Markets, Net Returns, in EUR",-,-,-,iShares Emerging Markets Index Fund (IE) Inst Acc EUR,IE00B3D07F16,23/Jul/2009,15.83,16.43,0.82,4.12,2.56,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Acc EUR,IE00B3D07F16,23/Jul/2009,2.56,3.34,2.49,7.74,3.95,6.79,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Acc EUR,IE00B3D07F16,23/Jul/2009,-5.58,20.87,7.66,45.18,47.26,108.54,30/Sep/2020,iShares Emerging Markets Index Fund (IE) Inst Acc EUR,IE00B3D07F16,23/Jul/2009,-5.65,14.42,20.56,-10.40,20.38,31/Dec/2019,iShares Emerging Markets Index Fund (IE) Inst Acc EUR,15.51,1.72,0.00,"177,880.67",2.56,0.00,-,0.00,-,-,BBB,4.65,274.95,-
