Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
-,iShares North America Index Fund (IE) Inst Acc EUR,IE00B78CT216,"115.295.434,05",Ja,Irland,-,"0,16",24.Feb.2012,Aktien,Large Caps,Nordamerika,EUR,Industrieländer,-,Vereinigte Staaten von Amerika,Inst,"3.587.920,94",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Daily Net TR North America EUR,"32,13",17.Nov.2020,-,-,-,6.00,"32,12",17.Nov.2020,"32,14",17.Nov.2020,"3.628,02",Y,Index Fonds,30.Sep.2020,"13,47","11,67","18,26","10,14","7,13",31.Oct.2020,"5,30","10,14","9,68","9,69",-,"13,33",31.Oct.2020,"-0,61","7,46","31,96","58,79",-,"196,51","1,64","0,00",-,"0,00",-,-,"10,25","14,78","6,08","-1,12","33,01",31.Dec.2019,iShares North America Index Fund (IE) Inst Acc EUR,"22,08","3,43","0,00","0,00","0,00","408.903,86",A,"6,45","160,09",-
-,iShares Pacific Index Fund (IE) Inst Acc EUR,IE00B56H2V49,"141.422.369,22",Ja,Irland,-,"0,18",24.Feb.2012,Aktien,Large/Mid Caps,Asien-Pazifik,EUR,Industrieländer,-,Weitere,Inst,"8.191.175,13",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Developed Pacific Ex Japan in EUR Net TR Index,"17,27",17.Nov.2020,-,-,-,6.00,"17,25",17.Nov.2020,"17,28",17.Nov.2020,"874,09",Y,Index Fonds,30.Sep.2020,"19,13","8,72","5,98","9,64","-12,80",31.Oct.2020,"-13,25","1,18","-0,47","3,95",-,"5,11",31.Oct.2020,"-15,00","2,57","-1,39","21,35",-,"54,15",-,"0,00",-,"0,00",-,-,"1,76","10,93","10,53","-5,94","20,48",31.Dec.2019,iShares Pacific Index Fund (IE) Inst Acc EUR,"15,21","1,50","0,00","0,00","0,00","42.676,93",A,"6,56","252,15",-
-,iShares UK Index Fund (IE) Inst Acc EUR,IE00B7MSLV86,"84.574.535,19",Ja,Irland,-,"0,17",24.Feb.2012,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Grossbritannien,Inst,"6.223.536,43",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Developed - United Kingdom Net in EUR,"13,59",17.Nov.2020,-,-,-,6.00,"13,59",17.Nov.2020,"13,66",17.Nov.2020,"560,13",Y,Index Fonds,30.Sep.2020,"0,72","9,01","4,53","3,32","-21,73",31.Oct.2020,"-25,56","-10,07","-7,50","-3,93",-,"1,89",31.Oct.2020,"-29,91","-8,71","-20,85","-18,17",-,"17,63","0,91","0,00",-,"0,00",-,-,"2,91","2,61","7,47","-9,93","23,06",31.Dec.2019,iShares UK Index Fund (IE) Inst Acc EUR,"14,38","1,29","0,01","0,00","0,00","43.403,06",AA,"7,74","102,68",-
-,iShares Japan Index Fund (IE) Inst Acc EUR,IE00B6RVWW34,"359.353.882,17",Ja,Irland,-,"0,17",24.Feb.2012,Aktien,Large/Mid Caps,Asien-Pazifik,EUR,Industrieländer,-,Japan,Inst,"16.942.847,76",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Developed - Japan Net Total Return Index in EUR,"21,21",17.Nov.2020,-,-,-,6.00,"21,20",17.Nov.2020,"21,22",17.Nov.2020,"1.901,44",Y,Index Fonds,30.Sep.2020,"11,18","8,40","12,08","1,35","-0,69",31.Oct.2020,"-4,03","3,09","1,74","3,91",-,"7,99",31.Oct.2020,"-5,92","4,67","5,31","21,13",-,"94,90",-,"0,00",-,"0,00",-,-,"21,87","5,32","8,82","-8,57","21,67",31.Dec.2019,iShares Japan Index Fund (IE) Inst Acc EUR,"16,38","1,30","0,00","0,00","0,00","43.174,48",A,"6,62","84,42",-
-,iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE) Inst Acc USD,IE00B3C8NT28,"231.977.447,63",Ja,Irland,-,"0,15",25.May.2011,Anleihen,Inflationsgeschützte Anleihen,Global,USD,Industrieländer,Weitere,Weitere,Inst,"15.325.461,19",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc World Gov Inflation Linked Bond Index USD Hedged,"15,14",17.Nov.2020,-,-,-,4.00,"15,12",17.Nov.2020,"15,15",17.Nov.2020,"778,95",Y,Index Fonds,30.Sep.2020,"11,41","-1,39","1,96","11,71","5,01",31.Oct.2020,"6,81","8,29","5,87","5,56",-,"4,56",31.Oct.2020,"7,83","4,11","18,67","31,09",-,"52,37","0,78","13,07",-,"12,35",-,-,"-1,17","10,17","3,23","0,00","8,26",31.Dec.2019,iShares Global Inflation-Linked Bond Index Fund (US Dollar Hedged) (IE) Inst Acc USD,"0,00","0,00","-1,26","13,07","12,35","0,00",A,"6,27",-,-
-,iShares Japan Index Fund (IE) Inst Dist USD,IE00B1W56N49,"56.932.775,37",Ja,Irland,-,"0,17",13.May.2009,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Industrieländer,-,Japan,Inst,"3.183.441,21",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Developed - Japan Net Dividends (USD),"17,88",17.Nov.2020,-,-,-,6.00,"17,88",17.Nov.2020,"17,89",17.Nov.2020,"1.901,44",Y,Index Fonds,30.Sep.2020,"11,96","14,04","10,09","-4,88","6,78",31.Oct.2020,"0,17","4,51","1,72","5,01","5,68","5,98",31.Oct.2020,"-2,41","11,32","5,24","27,68","73,71","94,69",-,"0,00",-,"0,00",-,-,"9,40","2,28","23,88","-12,97","19,48",31.Dec.2019,iShares Japan Index Fund (IE) Inst Dist USD,"16,38","1,30","0,00","0,00","0,00","43.174,48",A,"6,62","84,42",-
-,iShares Developed World Index Fund (IE) Inst Acc GBP,IE00B62C5H76,"114.114.408,67",Ja,Irland,-,"0,17",13.Jul.2011,Aktien,Alle Kapitalisierungen,Global,GBP,Industrieländer,-,Weitere,Inst,"4.056.130,09",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI World NET TR in GBP Index,"28,13",17.Nov.2020,-,-,-,6.00,"28,13",17.Nov.2020,"28,16",17.Nov.2020,"12.607,48",Y,Index Fonds,30.Sep.2020,"29,75","14,58","14,39","7,76","5,14",31.Oct.2020,"4,35","7,75","6,85","12,03",-,"10,74",31.Oct.2020,"0,94","9,75","22,00","76,45",-,"158,30","1,74","0,00",-,"0,00",-,-,"4,76","28,26","11,91","-3,06","22,69",31.Dec.2019,iShares Developed World Index Fund (IE) Inst Acc GBP,"19,59","2,44","0,02","0,00","0,00","303.807,38",A,"6,75","152,15",-
-,iShares Developed World Index Fund (IE) Inst Dist EUR,IE00B62NV726,"747.121.223,14",Ja,Irland,-,"0,17",08.Sep.2010,Aktien,Alle Kapitalisierungen,Global,EUR,Industrieländer,-,Weitere,Inst,"30.487.604,96",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI World Index Net EUR,"24,51",17.Nov.2020,-,-,-,6.00,"24,50",17.Nov.2020,"24,53",17.Nov.2020,"12.607,48",Y,Index Fonds,30.Sep.2020,"10,51","12,47","13,16","8,49","2,54",31.Oct.2020,"-0,15","6,89","5,91","6,96","10,52","10,31",31.Oct.2020,"-5,07","5,79","18,78","40,02","171,93","170,60",-,"0,00",-,"0,00",-,-,"10,30","10,73","7,58","-4,13","29,96",31.Dec.2019,iShares Developed World Index Fund (IE) Inst Dist EUR,"19,59","2,44","0,02","0,00","0,00","303.807,38",A,"6,75","152,15",-
-,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Acc EUR,IE00B67T5G21,"432.254.151,35",Ja,Irland,-,"0,15",09.Feb.2012,Anleihen,Mehrere Sektoren,Europa,EUR,Industrieländer,-,Weitere,Inst,"30.883.692,71",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc Euro Aggregate Corporate Index,"14,00",17.Nov.2020,-,-,-,3.00,"13,99",17.Nov.2020,"14,05",17.Nov.2020,"1.469,48",Y,Index Fonds,30.Sep.2020,"7,46","0,58","-0,02","6,24","0,27",31.Oct.2020,"1,26","3,70","2,00","2,71",-,"3,83",31.Oct.2020,"1,54","4,34","6,13","14,33",-,"38,81","1,37","5,67",-,"5,31",-,-,"-0,57","4,85","2,40","-1,28","6,38",31.Dec.2019,iShares Euro Investment Grade Corporate Bond Index Fund (IE) Inst Acc EUR,"9,18","0,74","0,41","5,67","5,30","0,00",A,"6,94","137,63",-
-,iShares Emerging Markets Index Fund (IE) Inst Acc EUR,IE00B3D07F16,"1.122.719.463,90",Ja,Irland,-,"0,32",23.Jul.2009,Aktien,Large/Mid Caps,Global,EUR,Schwellenländer,-,Weitere,Inst,"49.043.630,11",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,"MSCI Emerging Markets, Net Returns, in EUR","22,89",17.Nov.2020,-,-,-,6.00,"22,84",17.Nov.2020,"22,94",17.Nov.2020,"13.075,29",Y,Index Fonds,30.Sep.2020,"15,83","16,43","0,82","4,12","2,56",31.Oct.2020,"3,43","8,27","1,74","6,62","4,11","6,99",31.Oct.2020,"-3,02","13,59","5,30","37,75","49,59","114,21","1,64","0,00",-,"0,00",-,-,"-5,65","14,42","20,56","-10,40","20,38",31.Dec.2019,iShares Emerging Markets Index Fund (IE) Inst Acc EUR,"15,97","1,76","0,01","0,00","0,00","197.603,77",BBB,"4,62","280,55",-
-,iShares Emerging Markets Index Fund (IE) Inst Dist EUR,IE00B3D07J53,"403.221.754,72",Ja,Irland,-,"0,32",08.Sep.2010,Aktien,Large/Mid Caps,Global,EUR,Schwellenländer,-,Weitere,Inst,"30.784.130,59",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,"MSCI Emerging Markets, Net Returns, in EUR","13,10",17.Nov.2020,-,-,-,6.00,"13,07",17.Nov.2020,"13,12",17.Nov.2020,"13.075,29",Y,Index Fonds,30.Sep.2020,"15,82","16,42","0,81","4,11","2,54",31.Oct.2020,"3,41","8,25","1,72","6,61","4,11","4,15",31.Oct.2020,"-3,04","13,59","5,26","37,69","49,54","51,09","1,64","0,00",-,"0,00",-,-,"-5,65","14,40","20,56","-10,41","20,36",31.Dec.2019,iShares Emerging Markets Index Fund (IE) Inst Dist EUR,"15,97","1,76","0,01","0,00","0,00","197.603,77",BBB,"4,62","280,55",-
-,iShares Emerging Markets Index Fund (IE) Inst Dist GBP,IE00B3D07L75,"14.036.125,02",Ja,Irland,-,"0,32",10.Nov.2009,Aktien,Large/Mid Caps,Global,GBP,Schwellenländer,-,Weitere,Inst,"857.894,39",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,"MSCI Emerging Markets, Net Returns, in GBP","16,36",17.Nov.2020,-,-,-,6.00,"16,32",17.Nov.2020,"16,39",17.Nov.2020,"13.075,29",Y,Index Fonds,30.Sep.2020,"35,98","18,58","1,90","3,41","5,13",31.Oct.2020,"8,05","9,11","2,63","11,64","4,48","6,13",31.Oct.2020,"3,09","17,85","8,10","73,42","54,98","92,08","1,64","0,00",-,"0,00",-,-,"-10,40","32,50","25,37","-9,41","13,62",31.Dec.2019,iShares Emerging Markets Index Fund (IE) Inst Dist GBP,"15,97","1,76","0,01","0,00","0,00","197.603,77",BBB,"4,62","280,55",-
-,iShares Developed World Index Fund (IE) Inst Acc USD,IE00B62WG306,"2.993.491.087,67",Ja,Irland,-,"0,17",27.Jan.2011,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,-,Weitere,Inst,"127.531.089,97",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI World Net TR Index,"23,47",17.Nov.2020,-,-,-,6.00,"23,47",17.Nov.2020,"23,49",17.Nov.2020,"12.607,48",Y,Index Fonds,30.Sep.2020,"11,29","18,32","11,18","1,82","10,31",31.Oct.2020,"4,27","8,38","5,90","8,11",-,"7,91",31.Oct.2020,"-1,48","12,51","18,78","47,70",-,"110,17","1,74","0,00",-,"0,00",-,-,"-0,97","7,54","22,47","-8,73","27,61",31.Dec.2019,iShares Developed World Index Fund (IE) Inst Acc USD,"19,59","2,44","0,02","0,00","0,00","303.807,38",A,"6,75","152,15",-
-,iShares Emerging Markets Index Fund (IE) Inst Acc GBP,IE00B3D07H30,"242.656.633,21",Ja,Irland,-,"0,32",09.Jul.2009,Aktien,Large/Mid Caps,Global,GBP,Schwellenländer,-,Weitere,Inst,"9.305.692,06",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,"MSCI Emerging Markets, Net Returns, in GBP","26,08",17.Nov.2020,-,-,-,6.00,"26,01",17.Nov.2020,"26,13",17.Nov.2020,"13.075,29",Y,Index Fonds,30.Sep.2020,"35,98","18,56","1,91","3,41","5,13",31.Oct.2020,"8,05","9,11","2,63","11,64","4,48","8,26",31.Oct.2020,"3,09","17,85","8,10","73,41","54,96","145,43","1,64","0,00",-,"0,00",-,-,"-10,40","32,49","25,36","-9,40","13,62",31.Dec.2019,iShares Emerging Markets Index Fund (IE) Inst Acc GBP,"15,97","1,76","0,01","0,00","0,00","197.603,77",BBB,"4,62","280,55",-
-,iShares Europe Index Fund (IE) Inst Acc EUR,IE00B4K9F548,"72.442.262,93",Ja,Irland,-,"0,23",29.Mar.2012,Aktien,Large Caps,Europa,EUR,Industrieländer,-,Weitere,Inst,"3.932.371,94",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI Europe Net TR in EUR,"18,42",17.Nov.2020,-,-,-,6.00,"18,41",17.Nov.2020,"18,47",17.Nov.2020,"113,79",Y,Index Fonds,30.Sep.2020,"2,02","16,74","1,76","6,06","-7,68",31.Oct.2020,"-13,09","-0,95","-2,48","0,80",-,"5,77",31.Oct.2020,"-17,10","0,95","-7,26","4,08",-,"61,94","3,60","0,00",-,"0,00",-,-,"8,10","2,93","10,67","-10,33","26,38",31.Dec.2019,iShares Europe Index Fund (IE) Inst Acc EUR,"15,23","1,57","-0,01","0,00","0,00","64.003,29",AA,"7,90","135,66",-
-,iShares Edge EM Fundamental Weighted Index Fund (IE) Inst Acc GBP,IE00B5N9CW43,"186.949.014,26",Ja,Irland,-,"0,43",03.Feb.2012,Aktien,Alle Kapitalisierungen,Global,GBP,Schwellenländer,-,Weitere,Inst,"14.372.548,55",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,FTSE RAFI Emerging Markets QSR Net Index in GBP,"13,01",17.Nov.2020,-,-,-,6.00,"12,97",17.Nov.2020,"13,04",17.Nov.2020,"321,56",Y,Index Fonds,30.Sep.2020,"46,99","18,18","5,66","4,99","-14,50",31.Oct.2020,"-14,24","-3,90","-2,74","9,41",-,"1,86",31.Oct.2020,"-17,76","3,69","-8,00","56,76",-,"17,49","1,64","0,00",-,"0,00",-,-,"-17,73","57,44","14,36","-2,15","12,40",31.Dec.2019,iShares Edge EM Fundamental Weighted Index Fund (IE) Inst Acc GBP,"8,85","0,98","0,00","0,00","0,00","103.410,41",BBB,"4,57","429,93",-
-,iShares Euro Credit Bond Index Fund (IE) Inst Acc EUR,IE0031080645,"484.603.666,99",Ja,Irland,-,"0,15",05.Nov.2001,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,-,Weitere,Inst,"20.236.494,10",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,FTSE EuroBIG ex Domestic Treasury Index,"23,95",17.Nov.2020,-,-,-,3.00,"23,90",17.Nov.2020,"23,99",17.Nov.2020,"1.735,32",Y,Index Fonds,30.Sep.2020,"5,55","-1,16","0,05","6,51","0,19",31.Oct.2020,"1,44","3,60","2,16","2,16","3,34",-,31.Oct.2020,"2,11","3,18","6,63","11,27","38,87",-,"1,24","6,50",-,"6,05",-,-,"0,03","3,28","0,97","-0,26","4,99",31.Dec.2019,iShares Euro Credit Bond Index Fund (IE) Inst Acc EUR,"8,46","0,66","0,08","6,50","6,05","0,00",A,"7,01","101,57",-
-,iShares Euro Government Bond Index Fund (IE) Inst Acc EUR,IE0031080868,"708.161.421,30",Ja,Irland,-,"0,13",06.Nov.2001,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,Inst,"27.747.188,38",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,FTSE EMU Government Bond Index,"25,52",17.Nov.2020,-,-,-,3.00,"25,51",17.Nov.2020,"25,53",17.Nov.2020,"2.877,88",Y,Index Fonds,30.Sep.2020,"6,86","-3,51","-0,06","11,61","0,55",31.Oct.2020,"2,69","6,47","3,85","2,94","4,20","4,40",31.Oct.2020,"4,66","3,79","11,99","15,57","50,93","126,46","1,79","10,51",-,"8,86",-,-,"1,55","3,28","-0,05","0,88","6,67",31.Dec.2019,iShares Euro Government Bond Index Fund (IE) Inst Acc EUR,"0,00","0,00","-0,19","10,51","8,86","0,00",A,"5,96",-,-
