Fondsposition per,"09.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"CSIQ","CANADIAN SOLAR INC","Aktien","2,68","41,62","1.641.758","68.329.968","68.329.967,96","IT","CA1366351098","NASDAQ","China","USD"
"CAP","ENCAVIS AG","Aktien","2,59","21,69","3.045.455","66.060.250","66.060.249,59","Versorger","DE0006095003","Xetra","Deutschland","EUR"
"NEOEN","NEOEN SA","Aktien","2,54","58,01","1.119.596","64.946.863","64.946.862,69","Versorger","FR0011675362","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ORA","ORMAT TECH INC","Aktien","2,49","72,47","876.937","63.551.624","63.551.624,39","Versorger","US6866881021","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AY","ATLANTICA SUSTAINABLE INFRASTRUCTU","Aktien","2,47","30,04","2.098.892","63.050.716","63.050.715,68","Versorger","GB00BLP5YB54","NASDAQ","Vereinigte Staaten","USD"
"SPWR","SUNPOWER CORP","Aktien","2,12","17,43","3.103.026","54.085.743","54.085.743,18","IT","US8676524064","NASDAQ","Vereinigte Staaten","USD"
"SLR","SOLARIA ENERGIA Y MEDIO AMBIENTE S","Aktien","1,92","22,53","2.180.469","49.126.515","49.126.514,96","Versorger","ES0165386014","Bolsa De Madrid","Spanien","EUR"
"ELP","COMPANHIA PARANAENSE DE ENERGIA AD","Aktien","1,66","11,74","3.613.913","42.427.339","42.427.338,62","Versorger","US20441B4077","New York Stock Exchange Inc.","Brasilien","USD"
"FKR","FALCK RENEWABLES","Aktien","1,11","6,83","4.154.749","28.371.871","28.371.871,03","Versorger","IT0003198790","Borsa Italiana","Italien","EUR"
"ENRG","ENERGIX RENEWABLE ENERGIES LTD","Aktien","1,10","4,71","5.992.308","28.209.533","28.209.532,85","Versorger","IL0011233553","Tel Aviv Stock Exchange","Israel","ILS"
"2208","XINJIANG GOLDWIND SCIENCE AND TECH","Aktien","1,08","1,00","27.602.166","27.637.603","27.637.603,39","Industrie","CNE100000PP1","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"3800","GCL-POLY ENERGY HOLDINGS LTD","Aktien","1,01","0,05","484.048.000","25.919.822","25.919.822,45","IT","KYG3774X1088","Hong Kong Exchanges And Clearing Ltd","China","HKD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Money Market","0,64","1,00","16.462.964","16.462.964","16.462.963,80","Cash und/oder Derivate","IE00B50QMP13","-","Irland","USD"
"USD","USD CASH","Geldmarkt","0,52","100,00","13.255.426","13.255.426","13.255.426,04","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"MAXN","MAXEON SOLAR TECHNOLOGIES LTD","Aktien","0,31","20,09","391.389","7.863.005","7.863.005,01","IT","SGXZ25336314","NASDAQ","Vereinigte Staaten","USD"
"BZFUT","CASH COLLATERAL USD BZFUT","Cash Collateral and Margins","0,04","100,00","1.134.960","1.134.960","1.134.960,00","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"ILS","ILS CASH","Geldmarkt","0,01","29,61","812.060","240.432","240.432,23","Cash und/oder Derivate","-","-","Israel","ILS"
"GBP","GBP CASH","Geldmarkt","0,01","129,98","129.500","168.324","168.324,31","Cash und/oder Derivate","-","-","Vereinigtes Königreich","GBP"
"KRW","KRW CASH","Geldmarkt","0,00","0,09","6.729.706","5.835","5.835,43","Cash und/oder Derivate","-","-","Korea","KRW"
"CAD","CAD/USD","FX","0,00","1,00","1.104.058","5.709","5.708,60","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","602.213","3.114","3.113,78","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"JPY","JPY CASH","Geldmarkt","0,00","0,95","288.800","2.733","2.733,42","Cash und/oder Derivate","-","-","Japan","JPY"
"CAD","CAD/USD","FX","0,00","1,00","501.844","2.595","2.594,82","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","100.369","519","518,96","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"MESZ0","MSCI EMER MKT INDEX (ICE) DEC 20","Futures","0,00","1.132,00","53","0","2.999.800,00","Cash und/oder Derivate","-","Ice Futures U.S.","-","USD"
"ESZ0","S&P500 EMINI DEC 20","Futures","0,00","3.473,30","23","0","3.994.295,00","Cash und/oder Derivate","-","Index And Options Market","-","USD"
"IXPZ0","EMINI ENERGY SELECT SECTOR DEC 20","Futures","0,00","317,90","145","0","4.609.550,00","Cash und/oder Derivate","-","Chicago Mercantile Exchange","-","USD"
"ILS","ILS/USD","FX","0,00","1,00","-86.889","-123","-123,44","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"HKD","HKD/USD","FX","0,00","1,00","11.481.145","-15","-14,91","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"EUR","EUR/USD","FX","0,00","1,00","2.061.436","-14","-14,43","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"EUR","EUR/USD","FX","0,00","1,00","2.006.055","-14","-14,04","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD/USD","FX","0,00","1,00","1.497.188","-10","-10,48","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"HKD","HKD/USD","FX","0,00","1,00","-3.125.208","-9","-9,24","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","1.333.140","-9","-8,94","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"HKD","HKD/USD","FX","0,00","1,00","6.182.155","-8","-8,03","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"EUR","EUR/USD","FX","0,00","1,00","1.110.004","-8","-7,77","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"ILS","ILS/USD","FX","0,00","1,00","2.325.118","-7","-6,93","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"DKK","DKK/USD","FX","0,00","1,00","4.337.320","-7","-6,89","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"HKD","HKD/USD","FX","0,00","1,00","5.298.990","-7","-6,88","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"EUR","EUR/USD","FX","0,00","1,00","951.432","-7","-6,66","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"HKD","HKD/USD","FX","0,00","1,00","4.415.825","-6","-5,73","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"HKD","HKD/USD","FX","0,00","1,00","4.415.825","-6","-5,73","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD/USD","FX","0,00","1,00","806.178","-6","-5,64","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"EUR","EUR/USD","FX","0,00","1,00","792.860","-6","-5,55","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"EUR","EUR/USD","FX","0,00","1,00","792.860","-6","-5,55","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NOK","NOK/USD","FX","0,00","1,00","4.867.699","-5","-5,34","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD/USD","FX","0,00","1,00","691.010","-5","-4,84","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","717.845","-5","-4,81","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"HKD","HKD/USD","FX","0,00","1,00","-1.562.604","-5","-4,62","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","615.295","-4","-4,13","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD/USD","FX","0,00","1,00","575.842","-4","-4,03","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD/USD","FX","0,00","1,00","575.842","-4","-4,03","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"DKK","DKK/USD","FX","0,00","1,00","2.335.480","-4","-3,71","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","512.746","-3","-3,44","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","512.746","-3","-3,44","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"DKK","DKK/USD","FX","0,00","1,00","2.001.840","-3","-3,18","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NOK","NOK/USD","FX","0,00","1,00","2.621.069","-3","-2,88","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"DKK","DKK/USD","FX","0,00","1,00","1.668.200","-3","-2,65","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"DKK","DKK/USD","FX","0,00","1,00","1.668.200","-3","-2,65","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NOK","NOK/USD","FX","0,00","1,00","2.246.630","-2","-2,47","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NOK","NOK/USD","FX","0,00","1,00","1.872.192","-2","-2,05","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NOK","NOK/USD","FX","0,00","1,00","1.872.192","-2","-2,05","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD/USD","FX","0,00","1,00","172.464","-1","-1,21","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"DKK","DKK/USD","FX","0,00","1,00","540.722","-1","-0,86","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"ILS","ILS/USD","FX","0,00","1,00","-173.779","-247","-246,88","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"DKK","DKK/USD","FX","0,00","1,00","-646.304","-576","-575,99","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NOK","NOK/USD","FX","0,00","1,00","-748.240","-1.137","-1.136,92","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","-200.738","-1.041","-1.041,49","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"DKK","DKK/USD","FX","0,00","1,00","-1.292.608","-1.152","-1.151,99","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD/USD","FX","0,00","1,00","-221.006","-1.825","-1.824,85","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"CAD","CAD/USD","FX","0,00","1,00","-401.476","-2.083","-2.082,97","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"EUR","EUR/USD","FX","0,00","1,00","-310.874","-2.054","-2.053,95","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NOK","NOK/USD","FX","0,00","1,00","-1.496.480","-2.274","-2.273,85","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD/USD","FX","0,00","1,00","-442.013","-3.650","-3.649,70","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"EUR","EUR/USD","FX","0,00","1,00","-621.748","-4.108","-4.107,89","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"NZD","NZD CASH","Geldmarkt","-0,04","66,59","-1.387.702","-924.071","-924.070,70","Cash und/oder Derivate","-","-","Neuseeland","NZD"
"NOK","NOK CASH","Geldmarkt","-0,04","10,92","-8.821.612","-963.421","-963.420,92","Cash und/oder Derivate","-","-","Norwegen","NOK"
"DKK","DKK CASH","Geldmarkt","-0,06","15,87","-9.224.809","-1.464.430","-1.464.429,70","Cash und/oder Derivate","-","-","Dänemark","DKK"
"HKD","HKD CASH","Geldmarkt","-0,11","12,90","-20.834.714","-2.688.333","-2.688.332,87","Cash und/oder Derivate","-","-","Hongkong","HKD"
"CAD","CAD CASH","Geldmarkt","-0,14","76,14","-4.548.811","-3.463.254","-3.463.253,80","Cash und/oder Derivate","-","-","Kanada","CAD"
"EUR","EUR CASH","Geldmarkt","-0,21","118,14","-4.633.052","-5.473.719","-5.473.719,43","Cash und/oder Derivate","-","-","Europäische Union","EUR"
 
