Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"HEN","HENKEL AG","Aktien","0,44","81,00","123.118","9.972.558","9.972.558,00","Nichtzyklische Konsumgüter","DE0006048408","Xetra","Deutschland","EUR"
"CA","CARREFOUR SA","Aktien","0,44","13,82","715.751","9.891.679","9.891.678,82","Nichtzyklische Konsumgüter","FR0000120172","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Aktien","0,44","47,12","209.503","9.871.000","9.870.999,65","Zyklische Konsumgüter ","GB00BHJYC057","London Stock Exchange","Vereinigtes Königreich","GBP"
"PNDORA","PANDORA","Aktien","0,41","77,89","120.657","9.398.362","9.398.362,20","Zyklische Konsumgüter ","DK0060252690","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"EUR","EUR CASH","Geldmarkt","0,38","100,00","8.664.135","8.664.135","8.664.135,28","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"UMI","UMICORE SA","Aktien","0,38","37,12","233.223","8.657.238","8.657.237,76","Materialien","BE0974320526","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"KGF","KINGFISHER PLC","Aktien","0,38","3,40","2.539.578","8.640.690","8.640.689,68","Zyklische Konsumgüter ","GB0033195214","London Stock Exchange","Vereinigtes Königreich","GBP"
"ELISA","ELISA","Aktien","0,38","51,04","168.182","8.584.009","8.584.009,28","Kommunikation","FI0009007884","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"SCA B","SVENSKA CELLULOSA B","Aktien","0,38","11,97","716.227","8.572.495","8.572.494,58","Materialien","SE0000112724","Nasdaq Omx Nordic","Schweden","SEK"
"ABF","ASSOCIATED BRITISH FOODS PLC","Aktien","0,38","20,19","421.171","8.503.909","8.503.908,70","Nichtzyklische Konsumgüter","GB0006731235","London Stock Exchange","Vereinigtes Königreich","GBP"
"BRBY","BURBERRY GROUP PLC","Aktien","0,37","17,44","485.370","8.463.772","8.463.772,45","Zyklische Konsumgüter ","GB0031743007","London Stock Exchange","Vereinigtes Königreich","GBP"
"CCEP","COCA COLA EUROPEAN PARTNERS PLC","Aktien","0,36","34,04","242.648","8.260.445","8.260.445,37","Nichtzyklische Konsumgüter","GB00BDCPN049","New York Stock Exchange Inc.","Niederlande","USD"
"MOWI","MOWI","Aktien","0,36","15,79","523.270","8.260.494","8.260.493,94","Nichtzyklische Konsumgüter","NO0003054108","Oslo Bors Asa","Norwegen","NOK"
"UU.","UNITED UTILITIES GROUP PLC","Aktien","0,36","9,95","812.424","8.085.085","8.085.085,37","Versorger","GB00B39J2M42","London Stock Exchange","Vereinigtes Königreich","GBP"
"BOL","BOLIDEN","Aktien","0,36","24,68","327.119","8.074.168","8.074.167,65","Materialien","SE0012455673","Nasdaq Omx Nordic","Schweden","SEK"
"ORK","ORKLA","Aktien","0,34","8,69","893.378","7.763.326","7.763.325,84","Nichtzyklische Konsumgüter","NO0003733800","Oslo Bors Asa","Norwegen","NOK"
"FR","VALEO SA","Aktien","0,32","27,13","270.251","7.331.910","7.331.909,63","Zyklische Konsumgüter ","FR0013176526","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"BDEV","BARRATT DEVELOPMENTS PLC","Aktien","0,32","6,01","1.215.543","7.309.184","7.309.183,85","Zyklische Konsumgüter ","GB0000811801","London Stock Exchange","Vereinigtes Königreich","GBP"
"BKG","BERKELEY GROUP HOLDINGS (THE) PLC","Aktien","0,31","47,79","148.862","7.114.231","7.114.231,09","Zyklische Konsumgüter ","GB00B02L3W35","London Stock Exchange","Vereinigtes Königreich","GBP"
"DCC","DCC PLC","Aktien","0,31","59,58","116.907","6.965.102","6.965.101,65","Industrie","IE0002424939","London Stock Exchange","Vereinigtes Königreich","GBP"
"TEL2 B","TELE2 B","Aktien","0,30","11,58","596.192","6.902.265","6.902.264,81","Kommunikation","SE0005190238","Nasdaq Omx Nordic","Schweden","SEK"
"SEV","SUEZ SA","Aktien","0,29","15,81","419.927","6.636.946","6.636.946,24","Versorger","FR0010613471","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"GET","GETLINK","Aktien","0,28","12,14","520.124","6.314.305","6.314.305,36","Industrie","FR0010533075","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"REE","RED ELECTRICA SA","Aktien","0,28","15,93","394.770","6.288.686","6.288.686,10","Versorger","ES0173093024","Bolsa De Madrid","Spanien","EUR"
"GFC","GECINA SA","Aktien","0,28","114,70","54.621","6.265.029","6.265.028,70","Immobilien","FR0010040865","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"JMAT","JOHNSON MATTHEY PLC","Aktien","0,27","26,38","232.729","6.140.169","6.140.168,63","Materialien","GB00BZ4BQC70","London Stock Exchange","Vereinigtes Königreich","GBP"
"WTB","WHITBREAD PLC","Aktien","0,26","25,13","237.296","5.964.159","5.964.158,95","Zyklische Konsumgüter ","GB00B1KJJ408","London Stock Exchange","Vereinigtes Königreich","GBP"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Aktien","0,26","35,64","164.030","5.846.029","5.846.029,20","Immobilien","FR0013326246","Euronext Amsterdam","Frankreich","EUR"
"EBS","ERSTE GROUP BANK AG","Aktien","0,25","17,39","330.214","5.742.421","5.742.421,46","Financials","AT0000652011","Wiener Boerse Ag","Österreich","EUR"
"TW.","TAYLOR WIMPEY PLC","Aktien","0,25","1,30","4.308.681","5.595.730","5.595.729,58","Zyklische Konsumgüter ","GB0008782301","London Stock Exchange","Vereinigtes Königreich","GBP"
"MRW","MORRISON(WM.)SUPERMARKETS PLC","Aktien","0,25","1,93","2.884.714","5.569.374","5.569.373,67","Nichtzyklische Konsumgüter","GB0006043169","London Stock Exchange","Vereinigtes Königreich","GBP"
"AC","ACCOR SA","Aktien","0,24","24,28","223.963","5.437.822","5.437.821,64","Zyklische Konsumgüter ","FR0000120404","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"ELUX B","ELECTROLUX B","Aktien","0,24","20,04","270.659","5.424.048","5.424.048,28","Zyklische Konsumgüter ","SE0000103814","Nasdaq Omx Nordic","Schweden","SEK"
"ICA","ICA GRUPPEN","Aktien","0,24","45,48","118.892","5.406.878","5.406.878,13","Nichtzyklische Konsumgüter","SE0000652216","Nasdaq Omx Nordic","Schweden","SEK"
"CCH","COCA COLA HBC AG","Aktien","0,23","21,42","240.596","5.153.205","5.153.204,52","Nichtzyklische Konsumgüter","CH0198251305","London Stock Exchange","Vereinigtes Königreich","GBP"
"ORNBV","ORION CLASS B","Aktien","0,22","40,53","125.716","5.095.269","5.095.269,48","Gesundheitsversorgung","FI0009014377","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"HUSQ B","HUSQVARNA","Aktien","0,22","9,62","513.304","4.939.796","4.939.796,43","Zyklische Konsumgüter ","SE0001662230","Nasdaq Omx Nordic","Schweden","SEK"
"SBRY","SAINSBURY(J) PLC","Aktien","0,21","2,24","2.149.795","4.813.727","4.813.726,73","Nichtzyklische Konsumgüter","GB00B019KW72","London Stock Exchange","Vereinigtes Königreich","GBP"
"SDR","SCHRODERS PLC","Aktien","0,21","31,09","150.094","4.667.002","4.667.002,18","Financials","GB0002405495","London Stock Exchange","Vereinigtes Königreich","GBP"
"JMT","JERONIMO MARTINS SA","Aktien","0,20","14,96","305.527","4.570.684","4.570.683,92","Nichtzyklische Konsumgüter","PTJMT0AE0001","Nyse Euronext - Euronext Lisbon","Portugal","EUR"
"VER","VERBUND AG","Aktien","0,20","53,15","84.763","4.505.153","4.505.153,45","Versorger","AT0000746409","Wiener Boerse Ag","Österreich","EUR"
"AMUN","AMUNDI SA","Aktien","0,20","62,75","71.630","4.494.783","4.494.782,50","Financials","FR0004125920","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"JD.","JD SPORTS FASHION PLC","Aktien","0,20","8,67","517.709","4.486.941","4.486.940,70","Zyklische Konsumgüter ","GB00BYX91H57","London Stock Exchange","Vereinigtes Königreich","GBP"
"VPK","KONINKLIJKE VOPAK NV","Aktien","0,18","48,23","85.683","4.132.491","4.132.491,09","Energie","NL0009432491","Euronext Amsterdam","Niederlande","EUR"
"BLND","BRITISH LAND REIT PLC","Aktien","0,18","3,93","1.040.588","4.091.664","4.091.663,61","Immobilien","GB0001367019","London Stock Exchange","Vereinigtes Königreich","GBP"
"SK","SEB SA","Aktien","0,18","149,30","26.770","3.996.761","3.996.761,00","Zyklische Konsumgüter ","FR0000121709","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"WRT1V","WARTSILA","Aktien","0,17","7,17","545.384","3.910.403","3.910.403,28","Industrie","FI0009003727","Nasdaq Omx Helsinki Ltd.","Finnland","EUR"
"ELI","ELIA GROUP SA","Aktien","0,15","90,40","38.849","3.511.950","3.511.949,60","Versorger","BE0003822393","Nyse Euronext - Euronext Brussels","Belgien","EUR"
"ENG","ENAGAS SA","Aktien","0,11","19,58","123.081","2.409.926","2.409.925,98","Versorger","ES0130960018","Bolsa De Madrid","Spanien","EUR"
"KN","NATIXIS SA","Aktien","0,10","2,00","1.190.492","2.379.794","2.379.793,51","Financials","FR0000120685","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"CNP","CNP ASSURANCES SA","Aktien","0,10","10,60","219.655","2.328.343","2.328.343,00","Financials","FR0000120222","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"LUN","H LUNDBECK","Aktien","0,10","27,86","82.355","2.294.670","2.294.669,63","Gesundheitsversorgung","DK0010287234","Omx Nordic Exchange Copenhagen A/S","Dänemark","DKK"
"B4B","METRO AG","Aktien","0,09","8,49","236.018","2.004.737","2.004.736,89","Nichtzyklische Konsumgüter","DE000BFB0019","Xetra","Deutschland","EUR"
"PIRC","PIRELLI & C","Aktien","0,08","3,84","472.684","1.815.107","1.815.106,56","Zyklische Konsumgüter ","IT0005278236","Borsa Italiana","Italien","EUR"
"DEC","JCDECAUX SA","Aktien","0,06","14,49","98.783","1.431.366","1.431.365,67","Kommunikation","FR0000077919","Nyse Euronext - Euronext Paris","Frankreich","EUR"
"BZFUT","CASH COLLATERAL EUR BZFUT","Cash Collateral and Margins","0,04","100,00","980.970","980.970","980.970,00","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"ICSEAGD","BLK ICS EUR LIQ FUND AGEN ACC T0","Money Market","0,04","99,24","9.075","900.668","900.668,48","Cash und/oder Derivate","IE00B568BM13","-","Irland","EUR"
"NOK","NOK CASH","Geldmarkt","0,01","9,24","3.209.422","296.633","296.632,74","Cash und/oder Derivate","-","-","Norwegen","NOK"
"USD","USD CASH","Geldmarkt","0,00","85,15","15.485","13.185","13.185,44","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"SEK","SEK CASH","Geldmarkt","0,00","9,67","13.173","1.274","1.274,12","Cash und/oder Derivate","-","-","Schweden","SEK"
"IBX0","IBEX 35 INDEX NOV 20","Futures","0,00","6.849,00","75","0","5.136.750,00","Cash und/oder Derivate","ES0B00067347","Meff Renta Variable","-","EUR"
"VHZ0","STOXX 50 DEC 20","Futures","0,00","2.947,00","91","0","2.681.770,00","Cash und/oder Derivate","DE000C47BWP2","Eurex Deutschland","Europäische Union","EUR"
"CHF","CHF/EUR","FX","0,00","1,00","1.286.476","-31","-30,97","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"GBP","GBP/EUR","FX","0,00","1,00","978.638","-21","-20,99","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"DKK","DKK/EUR","FX","0,00","1,00","7.357.948","-6","-6,29","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"SEK","SEK/EUR","FX","0,00","1,00","4.414.091","-4","-3,90","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"NOK","NOK/EUR","FX","0,00","1,00","1.293.622","-1","-1,33","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"USD","USD/EUR","FX","0,00","1,00","41.305","0","-0,36","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"DKK","DKK CASH","Geldmarkt","-0,02","13,43","-2.554.112","-343.132","-343.132,16","Cash und/oder Derivate","-","-","Dänemark","DKK"
"GBP","GBP CASH","Geldmarkt","-0,02","110,58","-387.952","-428.980","-428.980,05","Cash und/oder Derivate","-","-","Vereinigtes Königreich","GBP"
"CHF","CHF CASH","Geldmarkt","-0,04","93,18","-991.793","-924.175","-924.174,58","Cash und/oder Derivate","-","-","Schweiz","CHF"
 
