Fondsposition per	09.Okt.2020											
SBER	SBERBANK ROSSII	Aktien	"0,36"	"2,69"	1.073.723	2.883.417	"2.883.417,26"	Financials	RU0009029540	Standard-Classica-Forts	Russland	RUB
GAZP	GAZPROM	Aktien	"0,35"	"2,18"	1.290.870	2.811.441	"2.811.441,15"	Energie	RU0007661625	Standard-Classica-Forts	Russland	RUB
3988	BANK OF CHINA LTD H	Aktien	"0,34"	"0,31"	8.784.000	2.708.855	"2.708.854,78"	Financials	CNE1000001Z5	Hong Kong Exchanges And Clearing Ltd	China	HKD
EDU	NEW ORIENTAL EDUCATION & TECHNOLOG	Aktien	"0,34"	"170,09"	15.835	2.693.375	"2.693.375,15"	Zyklische Konsumgüter 	US6475811070	New York Stock Exchange Inc.	China	USD
LKOH	NK LUKOIL	Aktien	"0,34"	"58,06"	46.093	2.675.990	"2.675.989,77"	Energie	RU0009024277	Standard-Classica-Forts	Russland	RUB
6400	SAMSUNG SDI LTD	Aktien	"0,34"	"385,87"	6.934	2.675.595	"2.675.595,06"	IT	KR7006400006	Korea Exchange (Stock Market)	Korea	KRW
HINDUNILVR	HINDUSTAN UNILEVER LTD	Aktien	"0,33"	"29,25"	88.661	2.593.527	"2.593.526,68"	Nichtzyklische Konsumgüter	INE030A01027	National Stock Exchange Of India	Indien	INR
NIO	NIO AMERICAN DEPOSITARY SHARES REP	Aktien	"0,32"	"21,47"	116.963	2.511.196	"2.511.195,61"	Zyklische Konsumgüter 	US62914V1061	New York Stock Exchange Inc.	China	USD
QNBK	QATAR NATIONAL BANK	Aktien	"0,31"	"4,99"	498.301	2.486.715	"2.486.714,96"	Financials	QA0006929895	Qatar Exchange	Qatar	QAR
1120	AL RAJHI BANK	Aktien	"0,31"	"17,70"	139.323	2.466.288	"2.466.288,24"	Financials	SA0007879113	Saudi Stock Exchange	Saudi-Arabien	SAR
PDD	PINDUODUO ADR REPRESENTING INC	Aktien	"0,31"	"79,54"	30.789	2.448.957	"2.448.957,06"	Zyklische Konsumgüter 	US7223041028	NASDAQ	China	USD
2010	SAUDI BASIC INDUSTRIES	Aktien	"0,31"	"24,50"	99.171	2.429.703	"2.429.702,72"	Materialien	SA0007879121	Saudi Stock Exchange	Saudi-Arabien	SAR
68270	CELLTRION INC	Aktien	"0,30"	"227,18"	10.438	2.371.347	"2.371.347,06"	Gesundheitsversorgung	KR7068270008	Korea Exchange (Stock Market)	Korea	KRW
5380	HYUNDAI MOTOR	Aktien	"0,30"	"156,51"	15.085	2.361.017	"2.361.016,69"	Zyklische Konsumgüter 	KR7005380001	Korea Exchange (Stock Market)	Korea	KRW
AMXL	AMERICA MOVIL L	Aktien	"0,29"	"0,65"	3.567.824	2.333.264	"2.333.264,47"	Kommunikation	MXP001691213	Bolsa Mexicana De Valores	Mexiko	MXN
ITUB4	ITAU UNIBANCO HOLDING PREF SA	Aktien	"0,29"	"4,34"	530.92	2.305.153	"2.305.153,18"	Financials	BRITUBACNPR1	XBSP	Brasilien	BRL
B3SA3	B3 BRASIL BOLSA BALCAO SA	Aktien	"0,29"	"9,90"	231.355	2.289.840	"2.289.839,63"	Financials	BRB3SAACNOR6	XBSP	Brasilien	BRL
2222	SAUDI ARABIAN OIL	Aktien	"0,28"	"9,60"	232.415	2.230.589	"2.230.589,18"	Energie	SA14TG012N13	Saudi Stock Exchange	Saudi-Arabien	SAR
600519	KWEICHOW MOUTAI LTD A	Aktien	"0,28"	"253,90"	8.7	2.208.961	"2.208.961,48"	Nichtzyklische Konsumgüter	CNE0000018R8	Shanghai Stock Exchange	China	CNY
BBCA	BANK CENTRAL ASIA	Aktien	"0,27"	"1,96"	1.097.400	2.155.607	"2.155.607,14"	Financials	ID1000109507	Indonesia Stock Exchange	Indonesien	IDR
YUMC	YUM CHINA HOLDINGS INC	Aktien	"0,27"	"53,99"	39.593	2.137.626	"2.137.626,07"	Zyklische Konsumgüter 	US98850P1093	New York Stock Exchange Inc.	China	USD
YNDX	YANDEX NV CLASS A	Aktien	"0,27"	"61,61"	34.61	2.132.185	"2.132.185,35"	Kommunikation	NL0009805522	Standard-Classica-Forts	Russland	RUB
3968	CHINA MERCHANTS BANK LTD H	Aktien	"0,26"	"4,79"	433.5	2.077.990	"2.077.989,82"	Financials	CNE1000002M1	Hong Kong Exchanges And Clearing Ltd	China	HKD
35720	KAKAO CORP	Aktien	"0,25"	"328,64"	6.011	1.975.434	"1.975.433,77"	Kommunikation	KR7035720002	Korea Exchange (Stock Market)	Korea	KRW
2628	CHINA LIFE INSURANCE LTD H	Aktien	"0,25"	"2,32"	852	1.974.429	"1.974.428,55"	Financials	CNE1000002L3	Hong Kong Exchanges And Clearing Ltd	China	HKD
883	CNOOC LTD	Aktien	"0,24"	"0,99"	1.936.000	1.911.007	"1.911.007,03"	Energie	HK0883013259	Hong Kong Exchanges And Clearing Ltd	China	HKD
7010	SAUDI TELECOM	Aktien	"0,23"	"27,73"	66.131	1.833.544	"1.833.544,12"	Kommunikation	SA0007879543	Saudi Stock Exchange	Saudi-Arabien	SAR
BBDC4	BANCO BRADESCO PREF SA	Aktien	"0,21"	"3,75"	455.152	1.707.751	"1.707.751,48"	Financials	BRBBDCACNPR8	XBSP	Brasilien	BRL
TCOM	TRIP COM GROUP ADR LTD	Aktien	"0,21"	"32,17"	51.386	1.653.088	"1.653.087,62"	Zyklische Konsumgüter 	US89677Q1076	NASDAQ	China	USD
AXISBANK	AXIS BANK LTD	Aktien	"0,20"	"6,40"	248.379	1.589.361	"1.589.360,73"	Financials	INE238A01034	National Stock Exchange Of India	Indien	INR
2020	ANTA SPORTS PRODUCTS LTD	Aktien	"0,20"	"11,09"	143	1.585.906	"1.585.905,90"	Zyklische Konsumgüter 	KYG040111059	Hong Kong Exchanges And Clearing Ltd	China	HKD
2313	SHENZHOU INTERNATIONAL GROUP LTD	Aktien	"0,20"	"17,47"	90.4	1.579.365	"1.579.365,29"	Zyklische Konsumgüter 	KYG8087W1015	Hong Kong Exchanges And Clearing Ltd	China	HKD
1109	CHINA RESOURCES LAND LTD	Aktien	"0,20"	"4,66"	336	1.565.100	"1.565.099,58"	Immobilien	KYG2108Y1052	Hong Kong Exchanges And Clearing Ltd	China	HKD
1180	NATIONAL COMMERCIAL BANK	Aktien	"0,20"	"10,26"	151.331	1.553.251	"1.553.250,73"	Financials	SA13L050IE10	Saudi Stock Exchange	Saudi-Arabien	SAR
2308	DELTA ELECTRONICS INC	Aktien	"0,19"	"6,73"	222	1.493.464	"1.493.464,39"	IT	TW0002308004	Taiwan Stock Exchange	Taiwan	TWD
105560	KB FINANCIAL GROUP INC	Aktien	"0,18"	"34,55"	42.313	1.462.105	"1.462.105,40"	Financials	KR7105560007	Korea Exchange (Stock Market)	Korea	KRW
NVTK	PAO NOVATEK GDR	Aktien	"0,18"	"141,90"	10.294	1.460.719	"1.460.718,60"	Energie	US6698881090	London Stock Exchange	Russland	USD
2412	CHUNGHWA TELECOM LTD	Aktien	"0,18"	"3,75"	388	1.453.867	"1.453.867,34"	Kommunikation	TW0002412004	Taiwan Stock Exchange	Taiwan	TWD
2303	UNITED MICRO ELECTRONICS CORP	Aktien	"0,18"	"1,12"	1.292.000	1.450.117	"1.450.116,77"	IT	TW0002303005	Taiwan Stock Exchange	Taiwan	TWD
2319	CHINA MENGNIU DAIRY LTD	Aktien	"0,18"	"4,83"	299	1.444.836	"1.444.835,84"	Nichtzyklische Konsumgüter	KYG210961051	Hong Kong Exchanges And Clearing Ltd	China	HKD
WEGE3	WEG SA	Aktien	"0,18"	"13,91"	103.193	1.435.609	"1.435.608,57"	Industrie	BRWEGEACNOR0	XBSP	Brasilien	BRL
12330	HYUNDAI MOBIS LTD	Aktien	"0,18"	"198,57"	7.167	1.423.146	"1.423.145,89"	Zyklische Konsumgüter 	KR7012330007	Korea Exchange (Stock Market)	Korea	KRW
PTT.R	PTT NON-VOTING DR PCL	Aktien	"0,18"	"1,07"	1.315.700	1.407.902	"1.407.901,68"	Energie	TH0646010R18	Stock Exchange Of Thailand	Thailand	THB
5490	POSCO	Aktien	"0,17"	"180,36"	7.658	1.381.196	"1.381.195,75"	Materialien	KR7005490008	Korea Exchange (Stock Market)	Korea	KRW
WALMEX*	WALMART DE MEXICO V	Aktien	"0,17"	"2,54"	542.562	1.375.509	"1.375.509,30"	Nichtzyklische Konsumgüter	MX01WA000038	Bolsa Mexicana De Valores	Mexiko	MXN
51900	LG HOUSEHOLD & HEALTH CARE LTD	Aktien	"0,17"	"1.335,36"	1.03	1.375.417	"1.375.417,30"	Nichtzyklische Konsumgüter	KR7051900009	Korea Exchange (Stock Market)	Korea	KRW
MGLU3	MAGAZINE LUIZA SA	Aktien	"0,17"	"17,76"	77.406	1.374.436	"1.374.435,59"	Zyklische Konsumgüter 	BRMGLUACNOR2	XBSP	Brasilien	BRL
175	GEELY AUTOMOBILE HOLDINGS LTD	Aktien	"0,17"	"2,04"	670	1.365.927	"1.365.926,67"	Zyklische Konsumgüter 	KYG3777B1032	Hong Kong Exchanges And Clearing Ltd	China	HKD
GFI	GOLD FIELDS LTD	Aktien	"0,17"	"13,11"	102.661	1.345.738	"1.345.737,71"	Materialien	ZAE000018123	Johannesburg Stock Exchange	Südafrika	ZAR
2891	CTBC FINANCIAL HOLDING LTD	Aktien	"0,17"	"0,64"	2.072.000	1.325.288	"1.325.288,44"	Financials	TW0002891009	Taiwan Stock Exchange	Taiwan	TWD
ABEV3	AMBEV SA	Aktien	"0,17"	"2,45"	535.804	1.315.362	"1.315.361,91"	Nichtzyklische Konsumgüter	BRABEVACNOR1	XBSP	Brasilien	BRL
PBBANK	PUBLIC BANK	Aktien	"0,16"	"3,90"	335.5	1.309.229	"1.309.228,72"	Financials	MYL1295OO004	Bursa Malaysia	Malaysia	MYR
CPALL.R	CP ALL NON-VOTING DR PCL	Aktien	"0,16"	"1,95"	670.2	1.304.919	"1.304.919,14"	Nichtzyklische Konsumgüter	TH0737010R15	Stock Exchange Of Thailand	Thailand	THB
2382	SUNNY OPTICAL TECHNOLOGY LTD	Aktien	"0,16"	"16,23"	80.1	1.300.195	"1.300.195,48"	IT	KYG8586D1097	Hong Kong Exchanges And Clearing Ltd	China	HKD
1177	SINO BIOPHARMACEUTICAL LTD	Aktien	"0,16"	"1,09"	1.179.000	1.288.525	"1.288.524,59"	Gesundheitsversorgung	KYG8167W1380	Hong Kong Exchanges And Clearing Ltd	China	HKD
1303	NAN YA PLASTICS CORP	Aktien	"0,16"	"2,12"	606	1.282.171	"1.282.170,87"	Materialien	TW0001303006	Taiwan Stock Exchange	Taiwan	TWD
HCLTECH	HCL TECHNOLOGIES LTD	Aktien	"0,16"	"11,70"	108.895	1.274.002	"1.274.002,27"	IT	INE860A01027	National Stock Exchange Of India	Indien	INR
2886	MEGA FINANCIAL HOLDING LTD	Aktien	"0,16"	"0,98"	1.299.000	1.267.803	"1.267.802,99"	Financials	TW0002886009	Taiwan Stock Exchange	Taiwan	TWD
2331	LI NING LTD	Aktien	"0,16"	"4,87"	258	1.256.702	"1.256.701,57"	Zyklische Konsumgüter 	KYG5496K1242	Hong Kong Exchanges And Clearing Ltd	China	HKD
1093	CSPC PHARMACEUTICAL GROUP LTD	Aktien	"0,16"	"2,02"	621.6	1.256.025	"1.256.024,93"	Gesundheitsversorgung	HK1093012172	Hong Kong Exchanges And Clearing Ltd	China	HKD
ANG	ANGLOGOLD ASHANTI LTD	Aktien	"0,16"	"27,87"	44.789	1.248.463	"1.248.463,14"	Materialien	ZAE000043485	Johannesburg Stock Exchange	Südafrika	ZAR
270	KIA MOTORS CORP	Aktien	"0,16"	"44,14"	27.988	1.235.282	"1.235.282,20"	Zyklische Konsumgüter 	KR7000270009	Korea Exchange (Stock Market)	Korea	KRW
BBRI	BANK RAKYAT INDONESIA (PERSERO)	Aktien	"0,16"	"0,21"	5.764.000	1.235.143	"1.235.142,86"	Financials	ID1000118201	Indonesia Stock Exchange	Indonesien	IDR
FEMSAUBD	FOMENTO ECONOMICO MEXICANO	Aktien	"0,15"	"6,03"	204.3	1.231.767	"1.231.767,00"	Nichtzyklische Konsumgüter	MXP320321310	Bolsa Mexicana De Valores	Mexiko	MXN
2884	E.SUN FINANCIAL HOLDING LTD	Aktien	"0,15"	"0,88"	1.389.375	1.227.671	"1.227.671,10"	Financials	TW0002884004	Taiwan Stock Exchange	Taiwan	TWD
36570	NCSOFT CORP	Aktien	"0,15"	"651,20"	1.87	1.217.750	"1.217.749,84"	Kommunikation	KR7036570000	Korea Exchange (Stock Market)	Korea	KRW
2882	CATHAY FINANCIAL HOLDING LTD	Aktien	"0,15"	"1,34"	906.058	1.214.331	"1.214.330,58"	Financials	TW0002882008	Taiwan Stock Exchange	Taiwan	TWD
GFNORTEO	GPO FINANCE BANORTE	Aktien	"0,15"	"4,05"	298.606	1.209.584	"1.209.584,31"	Financials	MXP370711014	Bolsa Mexicana De Valores	Mexiko	MXN
ZTO	ZTO EXPRESS CAYMAN ADR REPRESENTIN	Aktien	"0,15"	"29,91"	40.192	1.202.143	"1.202.142,72"	Industrie	US98980A1051	New York Stock Exchange Inc.	China	USD
55550	SHINHAN FINANCIAL GROUP LTD	Aktien	"0,15"	"24,58"	48.707	1.197.350	"1.197.349,62"	Financials	KR7055550008	Korea Exchange (Stock Market)	Korea	KRW
MARUTI	MARUTI SUZUKI INDIA LTD	Aktien	"0,15"	"96,55"	12.218	1.179.690	"1.179.689,70"	Zyklische Konsumgüter 	INE585B01010	National Stock Exchange Of India	Indien	INR
241	ALIBABA HEALTH INFORMATION TECH LT	Aktien	"0,15"	"2,75"	426	1.173.554	"1.173.553,72"	Gesundheitsversorgung	BMG0171K1018	Hong Kong Exchanges And Clearing Ltd	China	HKD
207940	SAMSUNG BIOLOGICS LTD	Aktien	"0,15"	"619,99"	1.876	1.163.096	"1.163.095,60"	Gesundheitsversorgung	KR7207940008	Korea Exchange (Stock Market)	Korea	KRW
FSR	FIRSTRAND LTD	Aktien	"0,15"	"2,38"	487.847	1.162.371	"1.162.371,09"	Financials	ZAE000066304	Johannesburg Stock Exchange	Südafrika	ZAR
1301	FORMOSA PLASTICS CORP	Aktien	"0,15"	"2,82"	409	1.154.763	"1.154.763,15"	Materialien	TW0001301000	Taiwan Stock Exchange	Taiwan	TWD
1216	UNI-PRESIDENT ENTERPRISES CORP	Aktien	"0,15"	"2,20"	525	1.154.711	"1.154.710,86"	Nichtzyklische Konsumgüter	TW0001216000	Taiwan Stock Exchange	Taiwan	TWD
386	CHINA PETROLEUM AND CHEMICAL CORP	Aktien	"0,14"	"0,41"	2.730.000	1.116.651	"1.116.650,86"	Energie	CNE1000002Q2	Hong Kong Exchanges And Clearing Ltd	China	HKD
TOPGLOV	TOP GLOVE CORPORATION	Aktien	"0,14"	"2,13"	522.7	1.113.391	"1.113.391,44"	Gesundheitsversorgung	MYL7113OO003	Bursa Malaysia	Malaysia	MYR
3008	LARGAN PRECISION LTD	Aktien	"0,14"	"117,82"	9.444	1.112.647	"1.112.646,66"	IT	TW0003008009	Taiwan Stock Exchange	Taiwan	TWD
2881	FUBON FINANCIAL HOLDING LTD	Aktien	"0,14"	"1,43"	774	1.107.487	"1.107.487,19"	Financials	TW0002881000	Taiwan Stock Exchange	Taiwan	TWD
960	LONGFOR GROUP HOLDINGS LTD	Aktien	"0,14"	"5,66"	195.5	1.107.406	"1.107.405,76"	Immobilien	KYG5635P1090	Hong Kong Exchanges And Clearing Ltd	China	HKD
2007	COUNTRY GARDEN HOLDINGS LTD	Aktien	"0,14"	"1,29"	858	1.102.661	"1.102.661,27"	Immobilien	KYG245241032	Hong Kong Exchanges And Clearing Ltd	China	HKD
688	CHINA OVERSEAS LAND INVESTMENT LTD	Aktien	"0,14"	"2,57"	428	1.098.986	"1.098.986,46"	Immobilien	HK0688002218	Hong Kong Exchanges And Clearing Ltd	China	HKD
1918	SUNAC CHINA HOLDINGS LTD	Aktien	"0,14"	"3,95"	278	1.097.645	"1.097.644,53"	Immobilien	KYG8569A1067	Hong Kong Exchanges And Clearing Ltd	China	HKD
291	CHINA RESOURCES BEER HOLDINGS LTD	Aktien	"0,13"	"6,05"	174	1.052.974	"1.052.973,85"	Nichtzyklische Konsumgüter	HK0291001490	Hong Kong Exchanges And Clearing Ltd	China	HKD
FAB	FIRST ABU DHABI BANK	Aktien	"0,13"	"3,04"	338.083	1.027.185	"1.027.185,46"	Financials	AEN000101016	Abu Dhabi Securities Exchange	Ver. Arabische Emirate	AED
1211	BYD LTD H	Aktien	"0,13"	"15,79"	65	1.026.574	"1.026.574,02"	Zyklische Konsumgüter 	CNE100000296	Hong Kong Exchanges And Clearing Ltd	China	HKD
SCC.R	SIAM CEMENT NON-VOTING DR PCL	Aktien	"0,13"	"11,30"	90.4	1.021.173	"1.021.173,06"	Materialien	TH0003010R12	Stock Exchange Of Thailand	Thailand	THB
BAJFINANCE	BAJAJ FINANCE LTD	Aktien	"0,13"	"45,36"	22.301	1.011.586	"1.011.586,41"	Financials	INE296A01024	National Stock Exchange Of India	Indien	INR
USD	USD CASH	Geldmarkt	"0,13"	"100,00"	1.008.036	1.008.036	"1.008.036,07"	Cash und/oder Derivate	-	-	Vereinigte Staaten	USD
6098	COUNTRY GARDEN SERVICES HOLDINGS L	Aktien	"0,12"	"6,76"	146	987.142	"987.142,02"	Industrie	KYG2453A1085	Hong Kong Exchanges And Clearing Ltd	China	HKD
TLKM	TELEKOMUNIKASI INDONESIA	Aktien	"0,12"	"0,19"	5.311.800	986.477	"986.477,14"	Kommunikation	ID1000129000	Indonesia Stock Exchange	Indonesien	IDR
BEKE	KE HOLDINGS ADR REPRESENTING INC	Aktien	"0,12"	"66,45"	14.661	974.223	"974.223,45"	Immobilien	US4824971042	New York Stock Exchange Inc.	China	USD
2688	ENN ENERGY HOLDINGS LTD	Aktien	"0,12"	"10,77"	90.3	972.321	"972.320,82"	Versorger	KYG3066L1014	Hong Kong Exchanges And Clearing Ltd	China	HKD
300750	CONTEMPORARY AMPEREX TECHNOLOGY LT	Aktien	"0,12"	"33,66"	28.5	959.444	"959.443,54"	Industrie	CNE100003662	Shenzhen Stock Exchange	China	CNY
1090	SAMBA FINANCIAL	Aktien	"0,12"	"7,33"	130.16	954.252	"954.252,20"	Financials	SA0007879097	Saudi Stock Exchange	Saudi-Arabien	SAR
DRREDDY	DR REDDYS LABORATORIES LTD	Aktien	"0,12"	"70,45"	13.531	953.247	"953.246,88"	Gesundheitsversorgung	INE089A01023	National Stock Exchange Of India	Indien	INR
66570	LG ELECTRONICS INC	Aktien	"0,12"	"80,90"	11.648	942.344	"942.344,16"	Zyklische Konsumgüter 	KR7066570003	Korea Exchange (Stock Market)	Korea	KRW
1326	FORMOSA CHEMICALS & FIBRE CORP	Aktien	"0,12"	"2,41"	388	935.885	"935.884,83"	Materialien	TW0001326007	Taiwan Stock Exchange	Taiwan	TWD
BAP	CREDICORP LTD	Aktien	"0,12"	"126,51"	7.389	934.782	"934.782,39"	Financials	BMG2519Y1084	New York Stock Exchange Inc.	Peru	USD
2002	CHINA STEEL CORP	Aktien	"0,12"	"0,72"	1.289.000	927.807	"927.806,82"	Materialien	TW0002002003	Taiwan Stock Exchange	Taiwan	TWD
1288	AGRICULTURAL BANK OF CHINA LTD H	Aktien	"0,12"	"0,31"	2.966.000	926.151	"926.151,44"	Financials	CNE100000Q43	Hong Kong Exchanges And Clearing Ltd	China	HKD
981	SEMICONDUCTOR MANUFACTURING INTERN	Aktien	"0,12"	"2,38"	387.5	923.994	"923.994,04"	IT	KYG8020E1199	Hong Kong Exchanges And Clearing Ltd	China	HKD
ETISALAT	EMIRATES TELECOM	Aktien	"0,11"	"4,60"	197.617	909.227	"909.227,04"	Kommunikation	AEE000401019	Abu Dhabi Securities Exchange	Ver. Arabische Emirate	AED
2601	CHINA PACIFIC INSURANCE (GROUP) LT	Aktien	"0,11"	"2,92"	311.2	907.494	"907.493,50"	Financials	CNE1000009Q7	Hong Kong Exchanges And Clearing Ltd	China	HKD
968	XINYI SOLAR HOLDINGS LTD	Aktien	"0,11"	"1,76"	512	902.435	"902.435,47"	IT	KYG9829N1025	Hong Kong Exchanges And Clearing Ltd	China	HKD
IMP	IMPALA PLATINUM LTD	Aktien	"0,11"	"9,70"	92.72	899.028	"899.027,79"	Materialien	ZAE000083648	Johannesburg Stock Exchange	Südafrika	ZAR
586	CHINA CONCH VENTURE HOLDINGS LTD	Aktien	"0,11"	"4,63"	194	898.652	"898.652,27"	Industrie	KYG2116J1085	Hong Kong Exchanges And Clearing Ltd	China	HKD
914	ANHUI CONCH CEMENT LTD H	Aktien	"0,11"	"6,88"	130	894.059	"894.058,75"	Materialien	CNE1000001W2	Hong Kong Exchanges And Clearing Ltd	China	HKD
ASIANPAINT	ASIAN PAINTS LTD	Aktien	"0,11"	"28,03"	31.494	882.926	"882.925,65"	Materialien	INE021A01026	National Stock Exchange Of India	Indien	INR
AOT.R	AIRPORTS OF THAILAND NON-VOTING DR	Aktien	"0,11"	"1,85"	473.5	876.217	"876.216,91"	Industrie	TH0765010R16	Stock Exchange Of Thailand	Thailand	THB
SBK	STANDARD BANK GROUP	Aktien	"0,11"	"6,45"	135.318	872.953	"872.952,94"	Financials	ZAE000109815	Johannesburg Stock Exchange	Südafrika	ZAR
858	WULIANGYE YIBIN LTD A	Aktien	"0,11"	"34,07"	25.5	868.757	"868.756,83"	Nichtzyklische Konsumgüter	CNE000000VQ8	Shenzhen Stock Exchange	China	CNY
2892	FIRST FINANCIAL HOLDING LTD	Aktien	"0,11"	"0,73"	1.196.995	867.841	"867.841,19"	Financials	TW0002892007	Taiwan Stock Exchange	Taiwan	TWD
3711	ASE TECHNOLOGY HOLDING LTD	Aktien	"0,11"	"2,14"	401	859.615	"859.615,18"	IT	TW0003711008	Taiwan Stock Exchange	Taiwan	TWD
1801	INNOVENT BIOLOGICS INC	Aktien	"0,11"	"7,84"	109.5	858.333	"858.333,17"	Gesundheitsversorgung	KYG4818G1010	Hong Kong Exchanges And Clearing Ltd	China	HKD
ITSA4	ITAUSA INVESTIMENTOS ITAU PREF SA	Aktien	"0,11"	"1,69"	506.164	857.09	"857.090,27"	Financials	BRITSAACNPR7	XBSP	Brasilien	BRL
86790	HANA FINANCIAL GROUP INC	Aktien	"0,11"	"25,97"	32.765	850.91	"850.909,82"	Financials	KR7086790003	Korea Exchange (Stock Market)	Korea	KRW
