Fondsposition per,"13.Okt.2020"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"SPL","SANTANDER BANK POLSKA SA","Aktien","0,61","36,55","26.206","957.938","957.937,76","Financials","PLBZ00000044","Warsaw Stock Exchange/Equities/Main Market","Polen","PLN"
"PGE","PGE POLSKA GRUPA ENERGETYCZNA SA","Aktien","0,58","1,47","617.109","905.540","905.540,38","Versorger","PLPGER000010","Warsaw Stock Exchange/Equities/Main Market","Polen","PLN"
"OPL","ORANGE POLSKA SA","Aktien","0,56","1,82","481.257","876.453","876.453,10","Kommunikation","PLTLKPL00017","Warsaw Stock Exchange/Equities/Main Market","Polen","PLN"
"MONET","MONETA MONEY BNK","Aktien","0,56","2,32","374.785","869.845","869.844,96","Financials","CZ0008040318","Prague Stock Exchange","Tschechien","CZK"
"MAGN","MAGNITOGORSKIY METALLURGICHESKIY K","Aktien","0,47","0,46","1.612.456","734.065","734.065,13","Materialien","RU0009084396","Standard-Classica-Forts","Russland","RUB"
"LTS","GRUPA LOTOS SA","Aktien","0,38","8,75","67.735","592.894","592.893,63","Energie","PLLOTOS00025","Warsaw Stock Exchange/Equities/Main Market","Polen","PLN"
"PLN","PLN CASH","Geldmarkt","0,32","26,13","1.915.682","500.544","500.544,10","Cash und/oder Derivate","-","-","Polen","PLN"
"MBK","MBANK SA","Aktien","0,29","41,41","10.807","447.562","447.562,06","Financials","PLBRE0000012","Warsaw Stock Exchange/Equities/Main Market","Polen","PLN"
"BZFUT","CASH COLLATERAL USD BZFUT","Cash Collateral and Margins","0,15","100,00","241.000","241.000","241.000,00","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"USD","USD CASH","Geldmarkt","0,12","100,00","187.004","187.004","187.003,84","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"HUF","HUF CASH","Geldmarkt","0,02","0,33","10.510.356","34.182","34.182,20","Cash und/oder Derivate","-","-","Ungarn","HUF"
"CZK","CZK CASH","Geldmarkt","0,01","4,29","388.169","16.653","16.652,65","Cash und/oder Derivate","-","-","Tschechien","CZK"
"GBP","GBP CASH","Geldmarkt","0,00","129,86","4.434","5.758","5.758,02","Cash und/oder Derivate","-","-","Vereinigtes Königreich","GBP"
"ZWBZ0","MSCI RUSSIA INDEX DEC 20","Futures","0,00","637,80","31","0","988.590,00","Cash und/oder Derivate","DE000C1KQ787","Eurex Deutschland","-","USD"
"MESZ0","MSCI EMER MKT INDEX (ICE) DEC 20","Futures","0,00","1.136,80","18","0","1.023.120,00","Cash und/oder Derivate","-","Ice Futures U.S.","-","USD"
 
